# XES calibration: ,configuration file,xes_calib_Ka.param,,,
emiss_calib,emiss,spectrum_ph,spectrum_norm,FF_sum,FF_sum_calib
6397.01978216243,6395,2004.69129942209,0.0136538479890024,1995.06179,2003.40767074801
6396.76932525633,6394.75,1890.14614344221,0.0127705571235703,1881.05981,1888.60848755116
6396.51882435667,6394.5,1899.56810427709,0.0128403360092641,1892.05865,1899.33879861506
6396.26827946345,6394.25,1886.18964694925,0.0127348227857788,1878.05654,1884.98189635131
6396.01769057666,6394,1879.49611087648,0.0126807033645615,1870.05938,1876.66500962408
6395.76705769631,6393.75,1951.88500635741,0.0132345762427832,1944.06012,1950.63519020697
6395.5163808224,6393.5,1886.32406151622,0.012727878014528,1878.05686,1884.136095098
6395.26565995491,6393.25,1847.25697066873,0.0124248664249573,1840.05582,1845.75420561901
6395.01489509387,6393,1936.34846125815,0.0131071489392561,1929.05982,1934.77321924371
6394.76408623926,6392.75,2083.91981285883,0.0142390293585669,2077.06481,2082.94638654018
6394.51323339109,6392.5,1966.00190142035,0.0133298042480266,1957.06244,1962.3594756273
6394.26233654935,6392.25,2081.48276555459,0.0142149692124241,2074.06417,2079.42894383475
6394.01139571405,6392,2229.76470497165,0.0153523112936507,2222.0725,2227.56457184685
6393.76041088519,6391.75,2484.37922251193,0.0173071472243797,2476.08029,2481.92785846898
6393.50938206277,6391.5,2503.75293471415,0.0174534304579273,2496.08326,2501.71610255535
6393.25830924678,6391.25,2750.67712941442,0.0193491415691913,2741.09832,2747.01017587973
6393.00719243722,6391,3106.17070497359,0.0220795432682989,3095.11021,3101.49185316745
6392.7560316341,6390.75,3455.11973279323,0.0247596294356047,3443.12551,3449.91525604753
6392.50482683742,6390.5,3904.37266094758,0.0282108604414709,3891.1484,3898.49147062946
6392.25357804717,6390.25,4585.14998080797,0.0334420710924271,4569.1913,4577.44918517333
6392.00228526336,6390,5471.09732221685,0.0402506466471226,5456.246,5465.69893088848
6391.75094848599,6389.75,6199.5525863026,0.0458484086394713,6185.2985,6195.58293597862
6391.49956771505,6389.5,7314.32601947321,0.0544162186025349,7290.3917,7302.04155110973
6391.24814295055,6389.25,8142.99124771123,0.0607844027769179,8122.4621,8134.95646953974
6390.99667419249,6389,9284.86591478381,0.0695605685026105,9263.5696,9277.31256827618
6390.74516144086,6388.75,9958.60255952208,0.0747376470163192,9927.642,9941.87700780873
6390.49360469567,6388.5,10403.5687062074,0.0781559171306305,10371.6872,10386.0958303336
6390.24200395691,6388.25,10698.2257147547,0.0804185967577981,10667.7137,10682.1108848042
6389.99035922458,6388,10195.6889606697,0.0765523793800761,10161.6708,10175.0334490558
6389.7386704987,6387.75,9474.01122543584,0.0710013861852267,9447.5962,9459.74044036194
6389.48693777925,6387.5,8258.14881609319,0.0616510568033359,8232.4687,8242.84888467966
6389.23516106624,6387.25,7205.13789953036,0.0535527437128085,7180.3796,7189.29303997972
6388.98334035967,6387,5840.27507147518,0.0430568849282934,5819.2807,5826.42015822016
6388.73147565953,6386.75,4855.45494738522,0.0354828277806035,4837.2066,4843.09536658262
6388.47956696583,6386.5,4106.44614516914,0.029721708578352,4093.1621,4098.12686960369
6388.22761427856,6386.25,3469.55981428667,0.0248225964394746,3457.13366,3461.32896048754
6387.97561759773,6386,2978.79111597181,0.0210468491865795,2968.10603,2971.72451516765
6387.72357692334,6385.75,2555.83947203391,0.0177924850116079,2547.08663,2550.21891097969
6387.47149225537,6385.5,2240.00407838526,0.0153616396274397,2233.07293,2235.85400679797
6387.21936359385,6385.25,2044.91037284199,0.0138590666116561,2036.06469,2038.64251412146
6386.96719093876,6385,1725.06618824518,0.0113974003525901,1719.05194,1721.27258542321
6386.71497429011,6384.75,1674.09623965815,0.0110028626629803,1667.05022,1669.25491626863
6386.4627136479,6384.5,1497.39952953361,0.00964172598353465,1491.04396,1493.06919583233
6386.21040901212,6384.25,1356.67878831284,0.00855717528540535,1352.03872,1353.93028406007
6385.95806038278,6384,1165.27262514084,0.00708295008927924,1161.03255,1162.71006751307
6385.70566775987,6383.75,1021.79739283658,0.0059772216851512,1018.02771,1019.55035240453
6385.45323114341,6383.5,1022.50312386182,0.00597996888168358,1019.02767,1020.60872500638
